fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
132,bus,0.707,1,1287,242,1411,368,MATRICULA,0.484,1588,379,1634,392,MATRICULA
132,car,0.724,5,1424,321,1515,381,,0.0,0,0,0,0,
132,person,0.832,6,167,246,245,470,,0.0,0,0,0,0,
132,car,0.457,14,1403,323,1458,375,,0.0,0,0,0,0,
132,car,0.447,9,1242,315,1285,345,,0.0,0,0,0,0,
133,bus,0.577,1,1287,244,1410,367,MATRICULA,0.484,1588,379,1634,392,MATRICULA
133,car,0.713,5,1424,321,1515,381,,0.0,0,0,0,0,
133,person,0.853,6,171,241,251,469,,0.0,0,0,0,0,
133,car,0.432,14,1401,323,1458,374,,0.0,0,0,0,0,
133,car,0.425,9,1242,315,1284,345,,0.0,0,0,0,0,
134,truck,0.554,1,1285,245,1409,368,MATRICULA,0.484,1588,379,1634,392,MATRICULA
134,car,0.719,5,1424,321,1514,382,,0.0,0,0,0,0,
134,person,0.851,6,178,240,259,467,,0.0,0,0,0,0,
134,car,0.416,14,1399,323,1458,374,,0.0,0,0,0,0,
134,car,0.433,9,1241,315,1285,345,,0.0,0,0,0,0,
134,bus,0.506,16,1286,246,1410,367,,0.0,0,0,0,0,
135,truck,0.579,1,1285,246,1407,368,MATRICULA,0.484,1588,379,1634,392,MATRICULA
135,car,0.71,5,1424,321,1513,382,,0.0,0,0,0,0,
135,person,0.825,6,182,241,273,467,,0.0,0,0,0,0,
135,car,0.449,14,1399,323,1457,374,,0.0,0,0,0,0,
135,bus,0.667,16,1287,246,1409,367,,0.0,0,0,0,0,
136,car,0.718,5,1420,320,1513,382,,0.0,0,0,0,0,
136,person,0.824,6,185,246,279,468,,0.0,0,0,0,0,
136,car,0.439,14,1400,323,1459,374,,0.0,0,0,0,0,
136,car,0.439,9,1240,315,1284,345,,0.0,0,0,0,0,
137,car,0.708,5,1420,320,1514,382,,0.0,0,0,0,0,
137,person,0.829,6,188,250,282,468,,0.0,0,0,0,0,
137,car,0.446,14,1398,323,1459,374,,0.0,0,0,0,0,
137,car,0.445,9,1240,315,1283,344,,0.0,0,0,0,0,
137,bus,0.631,1,1285,247,1406,367,MATRICULA,0.484,1588,379,1634,392,MATRICULA
138,car,0.707,5,1419,320,1514,382,,0.0,0,0,0,0,
138,person,0.848,6,191,256,284,469,,0.0,0,0,0,0,
138,car,0.465,14,1396,323,1458,373,,0.0,0,0,0,0,
138,car,0.432,9,1240,316,1282,344,,0.0,0,0,0,0,
138,truck,0.587,17,1284,247,1405,367,,0.0,0,0,0,0,
138,bus,0.661,1,1285,248,1405,367,MATRICULA,0.484,1588,379,1634,392,MATRICULA
139,car,0.695,5,1419,321,1514,382,,0.0,0,0,0,0,
139,person,0.86,6,193,257,287,469,,0.0,0,0,0,0,
139,car,0.466,14,1393,323,1458,372,,0.0,0,0,0,0,
139,car,0.408,9,1239,316,1281,344,,0.0,0,0,0,0,
