fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
99,person,0.883,11,0,234,75,489,,0.0,0,0,0,0,
100,bus,0.804,1,1306,227,1457,381,,0.0,0,0,0,0,
100,car,0.701,10,1438,320,1517,384,,0.0,0,0,0,0,
100,person,0.87,11,0,234,76,495,,0.0,0,0,0,0,
101,bus,0.707,1,1306,227,1456,382,,0.0,0,0,0,0,
101,car,0.606,10,1439,319,1517,385,,0.0,0,0,0,0,
101,person,0.874,11,0,233,79,495,,0.0,0,0,0,0,
102,bus,0.689,1,1306,228,1455,381,,0.0,0,0,0,0,
102,car,0.623,10,1440,319,1519,385,,0.0,0,0,0,0,
102,person,0.86,11,0,233,83,493,,0.0,0,0,0,0,
103,bus,0.823,1,1305,228,1454,381,,0.0,0,0,0,0,
103,car,0.791,10,1437,319,1520,385,,0.0,0,0,0,0,
103,person,0.848,11,1,232,88,491,,0.0,0,0,0,0,
104,bus,0.729,1,1303,228,1454,380,,0.0,0,0,0,0,
104,car,0.81,10,1434,319,1520,385,,0.0,0,0,0,0,
104,person,0.842,11,5,231,96,491,,0.0,0,0,0,0,
104,car,0.44,2,1267,311,1303,350,,0.0,0,0,0,0,
105,bus,0.668,1,1302,229,1453,380,,0.0,0,0,0,0,
105,car,0.813,10,1434,319,1520,384,,0.0,0,0,0,0,
105,person,0.866,11,12,230,103,491,,0.0,0,0,0,0,
105,car,0.482,2,1266,311,1302,350,,0.0,0,0,0,0,
106,bus,0.725,1,1302,230,1452,379,,0.0,0,0,0,0,
106,car,0.811,10,1434,319,1520,384,,0.0,0,0,0,0,
106,person,0.858,11,18,231,114,491,,0.0,0,0,0,0,
106,car,0.54,2,1266,312,1302,350,,0.0,0,0,0,0,
107,truck,0.555,1,1299,232,1450,379,,0.0,0,0,0,0,
107,car,0.802,10,1434,319,1520,384,,0.0,0,0,0,0,
107,person,0.859,11,23,232,132,491,,0.0,0,0,0,0,
107,car,0.545,2,1265,312,1301,350,,0.0,0,0,0,0,
